date,crude oil price,MSPUS
1963-01-01,2.97,17800
1963-02-01,2.97,17800
1963-03-01,2.97,17800
1963-04-01,2.97,18000
1963-05-01,2.97,18000
1963-06-01,2.97,18000
1963-07-01,2.97,17900
1963-08-01,2.97,17900
1963-09-01,2.97,17900
1963-10-01,2.97,18500
1963-11-01,2.97,18500
1963-12-01,2.97,18500
1964-01-01,2.97,18500
1964-02-01,2.97,18500
1964-03-01,2.97,18500
1964-04-01,2.97,18900
1964-05-01,2.97,18900
1964-06-01,2.97,18900
1964-07-01,2.92,18900
1964-08-01,2.92,18900
1964-09-01,2.92,18900
1964-10-01,2.92,19400
1964-11-01,2.92,19400
1964-12-01,2.92,19400
1965-01-01,2.92,20200
1965-02-01,2.92,20200
1965-03-01,2.92,20200
1965-04-01,2.92,19800
1965-05-01,2.92,19800
1965-06-01,2.92,19800
1965-07-01,2.92,20200
1965-08-01,2.92,20200
1965-09-01,2.92,20200
1965-10-01,2.92,20300
1965-11-01,2.92,20300
1965-12-01,2.92,20300
1966-01-01,2.92,21000
1966-02-01,2.92,21000
1966-03-01,2.92,21000
1966-04-01,2.92,22100
1966-05-01,2.92,22100
1966-06-01,2.92,22100
1966-07-01,2.92,21500
1966-08-01,2.92,21500
1966-09-01,2.97,21500
1966-10-01,2.97,21400
1966-11-01,2.97,21400
1966-12-01,2.97,21400
1967-01-01,2.97,22300
1967-02-01,3,22300
1967-03-01,3,22300
1967-04-01,3,23300
1967-05-01,3,23300
1967-06-01,3,23300
1967-07-01,3,22500
1967-08-01,3.07,22500
1967-09-01,3.07,22500
1967-10-01,3.07,22900
1967-11-01,3.07,22900
1967-12-01,3.07,22900
1968-01-01,3.07,23900
1968-02-01,3.07,23900
1968-03-01,3.07,23900
1968-04-01,3.07,24900
1968-05-01,3.07,24900
1968-06-01,3.07,24900
1968-07-01,3.07,24800
1968-08-01,3.07,24800
1968-09-01,3.07,24800
1968-10-01,3.07,25600
1968-11-01,3.07,25600
1968-12-01,3.07,25600
1969-01-01,3.07,25700
1969-02-01,3.07,25700
1969-03-01,3.25,25700
1969-04-01,3.35,25900
1969-05-01,3.35,25900
1969-06-01,3.35,25900
1969-07-01,3.35,25900
1969-08-01,3.35,25900
1969-09-01,3.35,25900
1969-10-01,3.35,24900
1969-11-01,3.35,24900
1969-12-01,3.35,24900
1970-01-01,3.35,23900
1970-02-01,3.35,23900
1970-03-01,3.35,23900
1970-04-01,3.35,24400
1970-05-01,3.35,24400
1970-06-01,3.35,24400
1970-07-01,3.31,23000
1970-08-01,3.31,23000
1970-09-01,3.31,23000
1970-10-01,3.31,22600
1970-11-01,3.31,22600
1970-12-01,3.56,22600
1971-01-01,3.56,24300
1971-02-01,3.56,24300
1971-03-01,3.56,24300
1971-04-01,3.56,25800
1971-05-01,3.56,25800
1971-06-01,3.56,25800
1971-07-01,3.56,25300
1971-08-01,3.56,25300
1971-09-01,3.56,25300
1971-10-01,3.56,25500
1971-11-01,3.56,25500
1971-12-01,3.56,25500
1972-01-01,3.56,26200
1972-02-01,3.56,26200
1972-03-01,3.56,26200
1972-04-01,3.56,26800
1972-05-01,3.56,26800
1972-06-01,3.56,26800
1972-07-01,3.56,27900
1972-08-01,3.56,27900
1972-09-01,3.56,27900
1972-10-01,3.56,29200
1972-11-01,3.56,29200
1972-12-01,3.56,29200
1973-01-01,3.56,30200
1973-02-01,3.56,30200
1973-03-01,3.56,30200
1973-04-01,3.56,32700
1973-05-01,3.56,32700
1973-06-01,3.56,32700
1973-07-01,3.56,33500
1973-08-01,4.31,33500
1973-09-01,4.31,33500
1973-10-01,4.31,34000
1973-11-01,4.31,34000
1973-12-01,4.31,34000
1974-01-01,10.11,35200
1974-02-01,10.11,35200
1974-03-01,10.11,35200
1974-04-01,10.11,35600
1974-05-01,10.11,35600
1974-06-01,10.11,35600
1974-07-01,10.11,36200
1974-08-01,10.11,36200
1974-09-01,10.11,36200
1974-10-01,11.16,37200
1974-11-01,11.16,37200
1974-12-01,11.16,37200
1975-01-01,11.16,38100
1975-02-01,11.16,38100
1975-03-01,11.16,38100
1975-04-01,11.16,39000
1975-05-01,11.16,39000
1975-06-01,11.16,39000
1975-07-01,11.16,38800
1975-08-01,11.16,38800
1975-09-01,11.16,38800
1975-10-01,11.16,41200
1975-11-01,11.16,41200
1975-12-01,11.16,41200
1976-01-01,11.16,42800
1976-02-01,12.03,42800
1976-03-01,12.1,42800
1976-04-01,12.17,44200
1976-05-01,12.17,44200
1976-06-01,12.17,44200
1976-07-01,12.17,44400
1976-08-01,12.17,44400
1976-09-01,13.9,44400
1976-10-01,13.9,45500
1976-11-01,13.9,45500
1976-12-01,13.9,45500
1977-01-01,13.9,46300
1977-02-01,13.9,46300
1977-03-01,13.9,46300
1977-04-01,13.9,48900
1977-05-01,13.9,48900
1977-06-01,13.9,48900
1977-07-01,13.9,48800
1977-08-01,14.85,48800
1977-09-01,14.85,48800
1977-10-01,14.85,51600
1977-11-01,14.85,51600
1977-12-01,14.85,51600
1978-01-01,14.85,53000
1978-02-01,14.85,53000
1978-03-01,14.85,53000
1978-04-01,14.85,55300
1978-05-01,14.85,55300
1978-06-01,14.85,55300
1978-07-01,14.85,56100
1978-08-01,14.85,56100
1978-09-01,14.85,56100
1978-10-01,14.85,59000
1978-11-01,14.85,59000
1978-12-01,14.85,59000
1979-01-01,14.85,60600
1979-02-01,15.85,60600
1979-03-01,15.85,60600
1979-04-01,15.85,63100
1979-05-01,18.1,63100
1979-06-01,19.1,63100
1979-07-01,21.75,64700
1979-08-01,26.5,64700
1979-09-01,28.5,64700
1979-10-01,29,62600
1979-11-01,31,62600
1979-12-01,32.5,62600
1980-01-01,32.5,63700
1980-02-01,37,63700
1980-03-01,38,63700
1980-04-01,39.5,64000
1980-05-01,39.5,64000
1980-06-01,39.5,64000
1980-07-01,39.5,64900
1980-08-01,38,64900
1980-09-01,36,64900
1980-10-01,36,66400
1980-11-01,36,66400
1980-12-01,37,66400
1981-01-01,38,66800
1981-02-01,38,66800
1981-03-01,38,66800
1981-04-01,38,69400
1981-05-01,38,69400
1981-06-01,36,69400
1981-07-01,36,69200
1981-08-01,36,69200
1981-09-01,36,69200
1981-10-01,35,70400
1981-11-01,36,70400
1981-12-01,35,70400
1982-01-01,33.85,66400
1982-02-01,31.56,66400
1982-03-01,28.48,66400
1982-04-01,33.45,69600
1982-05-01,35.93,69600
1982-06-01,35.07,69600
1982-07-01,34.16,69300
1982-08-01,33.95,69300
1982-09-01,35.63,69300
1982-10-01,35.68,71600
1982-11-01,34.15,71600
