Date,Price,CPI
1/1/1950,34.73,23.51
2/1/1950,34.73,23.61
3/1/1950,34.73,23.64
4/1/1950,34.73,23.65
5/1/1950,34.73,23.77
6/1/1950,34.73,23.88
7/1/1950,34.73,24.07
8/1/1950,34.73,24.2
9/1/1950,34.73,24.34
10/1/1950,34.73,24.5
11/1/1950,34.73,24.6
12/1/1950,34.72,24.98
1/1/1951,34.72,25.38
2/1/1951,34.73,25.83
3/1/1951,34.73,25.88
4/1/1951,34.73,25.92
5/1/1951,34.73,25.99
6/1/1951,34.73,25.93
7/1/1951,34.72,25.91
8/1/1951,34.71,25.86
9/1/1951,34.71,26.03
10/1/1951,34.71,26.16
11/1/1951,34.73,26.32
12/1/1951,34.66,26.47
1/1/1952,34.49,26.45
2/1/1952,34.49,26.41
3/1/1952,34.68,26.39
4/1/1952,34.82,26.46
5/1/1952,34.73,26.47
6/1/1952,34.53,26.53
7/1/1952,34.57,26.68
8/1/1952,34.58,26.69
9/1/1952,34.51,26.63
10/1/1952,34.63,26.69
11/1/1952,34.72,26.69
12/1/1952,34.79,26.71
1/1/1953,34.88,26.64
2/1/1953,34.95,26.59
3/1/1953,34.92,26.63
4/1/1953,34.93,26.69
5/1/1953,34.9,26.7
6/1/1953,34.89,26.77
7/1/1953,34.91,26.79
8/1/1953,34.91,26.85
9/1/1953,34.76,26.89
10/1/1953,34.79,26.95
11/1/1953,34.86,26.85
12/1/1953,34.85,26.87
1/1/1954,34.86,26.94
2/1/1954,34.88,26.99
3/1/1954,34.92,26.93
4/1/1954,35.04,26.86
5/1/1954,35.08,26.93
6/1/1954,35.07,26.94
7/1/1954,35.08,26.86
8/1/1954,35.05,26.85
9/1/1954,35.08,26.81
10/1/1954,35.08,26.72
11/1/1954,35.06,26.78
12/1/1954,35.04,26.77
1/1/1955,35.04,26.77
2/1/1955,35.05,26.82
3/1/1955,35.06,26.79
4/1/1955,35.05,26.79
5/1/1955,35.05,26.77
6/1/1955,35.04,26.71
7/1/1955,35.05,26.76
8/1/1955,35.03,26.72
9/1/1955,34.98,26.85
10/1/1955,34.98,26.82
11/1/1955,34.98,26.88
12/1/1955,34.97,26.87
1/1/1956,34.99,26.83
2/1/1956,34.99,26.86
3/1/1956,34.99,26.89
4/1/1956,34.98,26.93
5/1/1956,34.99,27.03
6/1/1956,34.98,27.15
7/1/1956,35,27.29
8/1/1956,35.02,27.31
9/1/1956,35.01,27.35
10/1/1956,35.02,27.51
11/1/1956,34.98,27.51
12/1/1956,34.9,27.63
1/1/1957,34.88,27.67
2/1/1957,34.89,27.8
3/1/1957,34.91,27.86
4/1/1957,34.92,27.93
5/1/1957,34.93,28
6/1/1957,34.99,28.11
7/1/1957,34.99,28.19
8/1/1957,34.97,28.28
9/1/1957,34.96,28.32
10/1/1957,34.97,28.32
11/1/1957,34.97,28.41
12/1/1957,34.99,28.47
1/1/1958,35.01,28.64
2/1/1958,35.08,28.7
3/1/1958,35.09,28.87
4/1/1958,35.1,28.94
5/1/1958,35.11,28.94
6/1/1958,35.1,28.91
7/1/1958,35.11,28.89
8/1/1958,35.1,28.94
9/1/1958,35.1,28.91
10/1/1958,35.11,28.91
11/1/1958,35.1,28.95
12/1/1958,35.09,28.97
1/1/1959,35.07,29.01
2/1/1959,35.06,29
3/1/1959,35.06,28.97
4/1/1959,35.08,28.98
